"","Aglaeactis cupripennis","Coeligena torquata","Coeligena violifer","Ensifera ensifera","Heliangelus amethysticollis","Lafresnaya lafresnayi","Lesbia victoriae","Metallura theresiae","Metallura tyrianthina","Patagona gigas","Pterophanes cyanopterus","Ramphomicron microrhynchum"
"Berberis lutea",0,0,0,0,0,0,0,2,0,0,0,0
"Bomarea brevis",0,0,0,0,0,0,0,7,0,0,0,0
"Bomarea setacea",0,0,0,0,0,0,0,5,0,0,0,0
"Brachyotum lutescens",1,1,0,0,0,0,2,45,0,0,0,0
"Brachyotum naudinii",0,0,0,0,0,0,0,7,0,0,0,0
"Centropogon isahellinus",1,0,0,0,0,2,0,1,0,0,0,0
"Desfontainia spinosa",0,0,0,0,0,0,0,0,0,0,2,0
"Disterigma sp1 M_PL_074_12",0,0,0,0,0,0,0,5,0,0,0,0
"Dunalia brachyacantha",0,0,0,0,0,0,0,3,0,0,0,0
"Fuchsia decussata",1,0,2,0,0,0,0,0,0,0,3,0
"Gaiadendron punctatum",0,0,0,0,0,0,0,2,1,0,0,1
"Gaultheria bracteata",0,0,0,0,0,0,0,3,0,0,0,0
"Gentianella fruticulosa",0,0,0,0,0,0,0,3,0,0,0,0
"Gentianella violacea",0,0,0,0,0,0,0,8,1,0,0,0
"Greigia macbrideana",0,0,0,0,0,0,0,3,0,0,0,0
"Meriania radula",0,0,0,0,0,0,0,7,0,0,0,0
"Miconia alpina",0,0,0,0,1,0,0,1,0,0,0,0
"Monnina salicifolia",1,0,0,0,0,0,0,1,0,0,0,0
"Pellegrinia hirsuta",0,0,0,0,0,0,0,1,0,0,0,0
"Puya pseudoeryngioides",0,1,0,0,0,0,0,1,0,1,0,0
"Ribes incarnatum",0,0,0,0,0,0,0,2,0,0,0,0
"Rubus sp1 M_PL_074_12",0,0,0,0,0,0,0,10,0,0,0,1
"Saracha punctata",0,0,0,0,0,0,0,1,0,0,0,0
"Tristerix longebracteatus",0,0,2,2,0,0,0,4,0,3,38,0
"Tropaeolum bicolor",0,0,3,0,0,0,0,0,0,0,0,0
"Vaccinium floribundum",0,0,0,0,0,0,0,4,0,0,0,0
