"","Amazilia fimbriata","Amazilia versicolor","Eupetomena macroura","Florisuga fusca","Glaucis hirsutus","Hylocharis cyanus","Lophornis chalybeus","Phaethornis ruber","Phaethornis squalidus","Ramphodon naevius","Thalurania glaucopis"
"Aechmea coelestis",0,0,0,0,0,0,0,0,0,6,0
"Aechmea distichantha",2,0,0,0,0,0,0,1,0,16,6
"Aechmea nudicaulis",20,0,0,0,0,0,0,0,0,0,8
"Aechmea pectinata",7,0,0,1,0,0,0,0,0,10,1
"Billbergia pyramidalis",0,0,0,0,0,0,0,0,0,16,0
"Bomarea edulis",0,0,0,0,0,0,0,1,0,0,0
"Bromelia antiacantha",4,3,2,1,0,0,0,0,0,0,1
"Centropogon cornutus",1,0,0,0,2,0,0,0,2,0,1
"Dahlstedtia pinnata",0,3,0,1,0,0,0,0,0,4,3
"Eriotheca pentaphylla",39,35,1,0,0,0,1,0,1,36,30
"Erythrina speciosa",1,3,0,0,0,0,0,18,0,32,0
"Heliconia angusta",0,0,0,0,0,0,0,0,0,11,0
"Impatiens walleriana",0,0,0,0,0,0,0,7,0,0,0
"Inga subnuda",21,15,0,15,0,0,1,0,0,0,13
"Mutisia speciosa",13,0,0,0,0,0,0,28,0,0,3
"Nematanthus fissus",0,0,0,0,0,0,0,7,0,0,2
"Nematanthus fluminensis",0,0,0,0,0,0,0,0,0,7,0
"Nidularium angustifolium",0,0,0,0,0,0,0,0,0,2,0
"Nidularium innocentii",0,0,0,0,0,0,0,0,0,4,0
"Nidularium seidelii",3,0,0,0,0,0,0,19,2,12,9
"Psittacanthus dichrous",2,10,0,1,0,0,0,0,0,0,3
"Psychotria nuda",0,0,0,0,0,0,0,16,0,2,11
"Sabicea grisea",0,0,0,0,0,0,0,1,0,0,1
"Schwartzia brasiliensis",4,11,1,84,0,5,0,0,0,0,10
"Stachytarpheta cayennensis",0,0,0,0,0,0,0,1,0,0,0
"Tillandsia geminiflora",2,8,0,0,0,0,0,0,0,0,3
"Vriesea ensiformis",0,0,0,0,0,0,0,0,0,2,0
"Vriesea procera",28,0,0,0,0,0,0,1,0,1,0
