"","Abeillia abeillei","Amazilia beryllina","Atthis ellioti","Campylopterus hemileucurus","Campylopterus rufus","Lampornis amethystinus","Lampornis viridipallens","Lamprolaima rhami","Tilmatura dupontii"
"Ardisia nigrescens",0,0,0,0,0,0,16,0,0
"Arpophyllum giganteum",0,0,0,0,0,0,3,0,0
"Cavendishia bracteata",0,0,0,0,0,0,0,8,0
"Centropogon grandidentatus",0,0,0,0,0,0,27,0,0
"Cestrum aurantiacum",0,3,0,0,0,0,6,0,0
"Epidendrum radicans",0,0,0,0,0,0,2,0,0
"Fuchsia paniculata",0,0,0,0,0,20,266,0,13
"Gaultheria acuminata",0,0,3,0,0,0,2,153,0
"Heliconia adflexa",0,0,0,0,0,0,20,0,0
"Hibiscus uncinellus",0,0,0,3,0,0,0,0,0
"Lobelia laxiflora",0,0,0,0,0,0,5,0,0
"Malvaviscus arboreus",3,0,0,140,23,0,6,0,0
"Moussonia deppeana",0,0,0,0,0,0,3,0,0
"Pitcairnia heterophylla",0,0,0,0,0,0,3,0,0
"Rovaeanthus strigosus",0,0,0,0,0,0,8,0,0
"Salvia chiapensis",0,0,0,0,0,0,27,0,0
"Salvia urica",0,0,0,0,0,0,5,0,0
"Saurauia scabrida",0,0,0,0,0,0,77,3,0
"Solenophora glomerata",0,0,0,17,0,0,0,0,0
"Spathacanthus parviflorus",0,3,0,0,0,0,11,0,0
"Stenostephanus monolophus",0,0,0,0,0,0,204,5,0
"Styrax glabrescens",0,0,0,0,0,0,3,0,0
"Tillandsia guatemalensis",0,0,0,4,0,0,2,0,0
"Tillandsia ponderosa",0,0,0,0,0,0,24,2,0
"Wigandia urens",0,0,0,0,0,0,11,0,0
