"","Adelomyia melanogenys","Aglaiocercus kingii","Amazilia franciae","Amazilia saucerottei","Amazilia tzacatl","Anthracothorax nigricollis","Boissonneaua flavescens","Coeligena coeligena","Colibri coruscans","Doryfera ludovicae","Florisuga mellivora","Ocreatus underwoodii","Phaethornis guy"
"Besleria solanoides",0,0,3,10,0,0,7,0,0,0,0,15,1
"Bomarea carderi",4,0,0,0,0,0,3,5,9,2,0,0,0
"Bomarea sp1 M_PL_074_16",2,0,3,0,0,0,0,12,0,9,0,0,0
"Cavendishia bracteata",4,0,0,0,0,0,0,18,19,10,0,0,0
"Centropogon cornutus",0,0,0,0,0,0,0,0,0,0,0,0,30
"Centropogon latisepalus",0,0,0,0,0,0,0,0,0,0,0,0,12
"Columnea dimidiata",0,0,0,0,0,0,0,0,0,0,0,0,3
"Costus sp1 M_PL_074_16",0,0,0,0,0,0,0,0,0,0,0,0,3
"Elleanthus aurantiacus",9,0,0,0,0,0,2,0,0,0,0,7,0
"Erythrina rubrinervia",0,0,4,54,14,42,0,16,26,3,15,0,14
"Eucalyptus globulus",0,15,0,15,3,0,0,0,20,0,0,0,0
"Guzmania sp1 M_PL_074_16",2,4,0,0,0,0,1,3,8,0,0,0,0
"Hamelia patens",4,3,22,73,62,5,48,0,29,0,6,17,0
"Heliconia griggsiana",0,0,0,0,0,0,0,0,0,0,0,0,48
"Heliconia latispatha",0,0,0,3,8,0,0,0,0,0,0,0,17
"Heliconia venusta",0,0,0,0,0,0,0,0,0,0,0,0,7
"Inga ingoides",17,170,55,270,35,45,250,22,520,8,35,394,7
"Kohleria affinis",0,0,0,0,0,0,0,16,4,2,0,0,0
"Kohleria inaequalis",0,0,4,2,0,0,0,0,0,0,0,7,0
"Mezobromelia sp1 M_PL_074_16",0,0,0,0,0,0,0,4,0,0,0,0,0
"Musa velutina",0,0,0,5,18,0,0,0,0,0,0,0,7
"Palicourea acetosoides",9,5,17,28,0,0,8,0,26,0,0,32,0
"Trichanthera gigantea",0,0,0,29,38,18,8,0,29,0,0,0,0
