"","Augastes scutatus","Campylopterus largipennis","Chlorostilbon lucidus","Colibri serrirostris","Eupetomena macroura","Phaethornis pretrei"
"Acritopappus longifolius",4,0,0,0,0,0
"Aechmea lamarchei",13,2,0,0,0,2
"Agalinis angustifolia",19,17,0,0,0,2
"Agarista coriifolia",6,0,0,0,0,0
"Barbacenia flava",0,0,0,2,0,0
"Barbacenia gentianoides",0,0,0,0,0,1
"Barbacenia luzulifolia",0,5,0,0,0,5
"Billbergia amoena",0,0,0,0,7,4
"Billbergia vittata",0,0,0,0,0,3
"Calolisianthus pendulus",0,0,0,3,0,0
"Chronopappus bifrons",0,0,3,0,0,0
"Cipocereus minensis",0,2,0,0,0,0
"Cuphea ericoides",4,0,0,0,0,0
"Dyckia sp1 M_PL_074_17",0,12,0,0,0,0
"Encholirium subsecundum",7,18,0,4,0,0
"Eremanthus crotonoides",30,0,0,12,0,0
"Eremanthus erythropappus",114,0,0,0,0,0
"Erythroxylum vaccinifolium",9,0,0,0,0,0
"Esterhazya splendida",0,8,0,3,0,0
"Gaylussacia brasiliensis",20,0,0,0,0,0
"Gaylussacia montana",15,0,0,0,0,0
"Gaylussacia oleifolia",5,82,16,0,0,0
"Gordonia fruticosa",19,0,0,0,0,0
"Hippeastrum cipoanum",0,0,0,0,0,1
"Hololepis pedunculata",16,3,0,48,0,88
"Hyptis sp1 M_PL_074_17",138,0,0,0,0,0
"Lepidaploa sp1 M_PL_074_17",50,0,0,0,0,0
"Lessingianthus roseus",8,0,0,0,0,0
"Lobelia fistulosa",0,148,0,156,43,64
"Malvaceae sp1 M_PL_074_17",74,0,0,0,0,0
"Myrcia lasiantha",2,0,0,0,0,0
"Nematanthus strigillosus",97,0,0,0,0,0
"Neoregelia bahiana",0,6,0,0,0,1
"Paliavana sericiflora",0,3,0,0,0,1
"Pilosocereus aurisetus",5,18,0,0,0,8
"Piptolepis leptospermoides",18,0,0,0,0,0
"Protium sp1 M_PL_074_17",9,0,0,0,0,0
"Psychotria vellosiana",52,0,0,0,5,0
"Siphocampylus fimbriatus",0,0,0,0,0,6
"Stachytarpheta glabra",230,0,0,0,0,0
"Stachytarpheta mexiae",38,0,2,0,0,0
"Tillandsia gardneri",0,0,6,0,0,0
"Trixis vauthieri",5,0,0,0,0,0
"Vellozia epidendroides",24,0,0,0,0,0
"Vernonanthura phosphorica",9,0,0,0,0,0
"Vochysia emarginata",54,0,284,0,0,0
"Vochysia sp1 M_PL_074_17",8,0,0,0,0,0
"Vriesea medusa",0,1,0,0,0,0
"Vriesea procera",0,6,0,0,0,23
