"","Amazilia fimbriata","Amazilia versicolor","Calliphlox amethystina","Clytolaema rubricauda","Florisuga fusca","Glaucis hirsutus","Heliomaster squamosus","Hylocharis cyanus","Leucochloris albicollis","Phaethornis ruber","Phaethornis squalidus","Ramphodon naevius","Thalurania glaucopis"
"Acnistus arborescens",0,6,0,0,0,0,0,4,0,49,0,0,7
"Besleria longimucronata",0,0,0,0,0,0,0,0,0,15,0,0,1
"Bomarea edulis",0,10,0,0,0,1,0,0,0,5,2,1,0
"Canna paniculata",0,0,0,0,0,0,0,0,0,0,0,1,1
"Centropogon cornutus",0,0,0,0,1,9,0,0,0,0,2,4,1
"Dahlstedtia pinnata",9,0,0,0,0,0,0,0,0,0,1,6,0
"Hedychium coronarium",6,0,0,0,11,0,0,4,0,0,0,2,0
"Heliconia farinosa",0,0,0,0,0,1,0,0,0,0,0,34,1
"Heliconia spathocircinata",0,0,0,0,0,0,0,0,0,0,1,12,2
"Impatiens walleriana",0,0,0,0,0,0,0,0,0,5,0,0,0
"Inga semialata",1,0,0,0,0,0,0,0,0,0,0,0,2
"Lantana camara",0,4,3,0,0,0,2,0,0,2,0,0,0
"Mendoncia coccinea",0,2,0,0,1,0,0,0,0,0,0,0,0
"Musa ornata",1,2,0,1,1,0,0,0,1,0,0,19,1
"Neoregelia johannis",0,6,0,0,0,0,0,0,0,0,0,0,0
"Psychotria nuda",1,0,0,0,0,8,0,0,0,0,2,10,2
"Ruellia elegans",0,0,0,0,0,0,0,0,0,0,1,2,0
"Sabicea grisea",0,0,0,0,0,0,0,0,0,4,0,0,0
"Stachytarpheta cayennensis",0,0,3,0,0,0,0,0,0,0,0,0,0
"Tillandsia geminiflora",5,2,0,0,0,0,0,0,0,0,0,0,0
"Vriesea procera",14,0,0,0,0,0,0,0,0,0,0,0,0
"Vriesea rodigasiana",5,0,0,0,0,0,0,0,0,0,0,7,0
