i,j
0,1706
0,981
0,1310
0,1494
0,367
0,815
0,320
0,1005
0,817
1,1710
1,1448
1,533
1,584
1,1126
1,1512
1,300
1,1305
2,194
2,1434
2,164
2,1637
2,320
2,597
2,1632
2,1657
2,222
2,647
2,1142
2,1651
2,1095
2,239
2,496
3,1140
3,79
3,910
3,1710
3,1777
3,1634
3,606
4,1572
4,496
4,1640
4,605
4,357
4,1329
4,660
4,55
4,139
4,1592
4,192
4,1736
4,1726
5,927
5,1258
5,1583
5,371
5,1660
5,1329
5,469
5,1338
6,1174
6,385
6,802
6,819
6,1395
6,1756
7,783
7,1091
7,1076
7,232
7,898
7,10
7,1385
7,1527
8,1301
8,1455
8,1538
8,459
8,323
8,1347
8,1299
9,1477
9,1170
9,1367
9,1706
9,1356
9,1504
9,633
9,1774
9,1501
9,229
9,1748
10,1430
10,1132
10,447
10,1733
10,504
10,192
10,1509
10,1630
10,1095
10,465
10,1402
10,533
10,1593
10,787
10,1372
10,896
10,1472
10,352
10,496
10,1334
11,236
11,1706
11,1531
11,1647
11,728
11,688
11,1398
11,1051
11,530
11,216
11,206
11,921
11,475
11,145
11,578
11,61
12,1648
12,986
12,1710
12,1225
12,1200
12,1126
12,1006
12,253
12,1534
12,1728
13,339
13,1340
13,408
13,677
13,1766
14,1221
14,295
14,789
14,627
14,331
14,674
14,930
14,1677
14,836
14,1460
14,1115
14,476
14,403
14,164
15,1466
15,564
15,1301
15,1315
15,1045
15,489
15,1101
16,189
16,1115
16,1781
16,1720
16,1080
16,1301
17,1239
17,1549
17,139
17,71
17,226
18,840
18,1774
18,369
18,329
18,280
18,628
18,149
18,1025
18,1636
18,1114
19,364
19,123
19,1585
19,875
19,46
19,1194
19,1108
19,874
19,357
19,538
20,863
20,251
20,1464
20,845
20,64
21,1271
21,1710
21,119
21,231
21,1359
21,243
21,1108
21,1721
21,1113
22,330
22,1458
22,468
22,499
22,1400
22,46
22,210
22,365
22,1290
22,1213
22,253
22,426
22,1156
22,1773
23,319
23,1159
23,1103
23,501
23,1549
23,1046
23,1007
23,482
23,1505
23,618
23,1390
23,1717
23,1164
23,1700
23,1091
23,142
24,906
24,79
24,323
24,1356
24,287
24,1297
24,541
24,1754
24,959
24,970
24,1123
25,1681
25,1776
25,876
25,237
25,606
25,53
25,1593
25,1094
26,151
26,1743
26,605
26,1432
26,1293
27,1061
27,468
27,1111
27,1258
27,1718
27,1662
27,860
27,155
27,220
27,1329
27,1782
28,1348
28,1613
28,907
28,1489
28,293
28,1244
28,818
28,543
29,736
29,662
29,714
29,608
29,65
29,418
29,1453
29,58
29,763
29,216
29,921
30,1299
30,1568
30,849
30,485
30,952
30,703
30,1584
31,1424
31,1396
31,1423
31,643
31,1618
31,932
31,121
31,220
32,876
32,1203
32,1503
32,1374
32,783
32,578
32,700
32,1480
32,1301
32,181
32,157
32,499
33,670
33,985
33,819
33,1481
33,93
33,1503
33,793
33,1525
34,1321
34,686
34,501
34,865
34,1118
34,1700
34,320
35,316
35,1440
35,407
35,120
35,275
35,960
35,220
35,231
35,90
35,366
35,426
35,1006
35,1616
35,346
35,140
35,1662
36,1539
36,496
36,1460
36,125
36,1082
36,100
36,1722
36,1772
36,1257
36,513
37,161
37,1539
37,1440
37,1126
37,958
37,195
37,1762
37,585
37,1064
37,424
37,1705
37,1466
37,822
37,1063
37,1636
37,1579
37,222
37,1761
37,1752
37,864
37,301
38,1105
38,1107
38,1499
38,1225
38,1695
38,697
38,1485
38,85
38,1171
38,225
39,709
39,1232
39,1017
39,304
39,1136
40,1384
40,1532
40,959
40,1257
40,1421
41,883
41,933
41,1294
41,307
41,535
41,420
41,977
41,698
41,1179
41,525
41,1144
41,1053
41,901
41,1160
41,1052
41,1264
41,1299
41,1253
41,639
41,1767
41,1356
41,1710
42,627
42,513
42,201
42,1469
42,652
42,553
42,1043
42,1254
43,1710
43,453
43,1205
43,1199
43,835
43,903
43,540
43,547
43,1034
43,513
43,689
43,1703
43,113
44,1541
44,1516
44,521
44,664
44,362
44,1274
44,173
44,1299
44,292
44,662
44,991
44,475
44,1485
44,1027
44,310
44,1531
44,143
44,850
44,89
44,1369
44,600
44,1154
44,185
44,1106
44,1565
44,1772
44,1356
45,936
45,565
45,1692
45,460
45,842
45,1259
45,575
45,1446
45,1038
45,702
45,1599
46,1122
46,69
46,1504
46,320
46,239
46,1184
46,457
46,1627
46,1149
46,331
46,1394
46,384
47,76
47,72
47,888
47,1300
47,874
47,1115
47,1072
47,49
47,396
47,1602
47,1275
47,974
47,1710
48,922
48,702
48,1239
48,169
48,1413
48,1149
49,951
49,290
49,1406
49,172
49,814
49,1550
49,1045
49,972
49,1063
49,1373
50,1567
50,1257
50,1153
50,324
50,1152
50,1768
50,1384
50,359
50,1552
51,669
51,415
51,1476
51,1169
51,1659
51,1509
51,841
51,1163
51,707
51,1698
51,716
52,1603
52,922
52,982
53,839
53,1695
53,360
53,1181
53,421
53,1213
53,487
53,655
53,1215
54,459
54,1071
54,1672
54,752
54,502
54,1748
54,1558
54,1562
54,330
54,1710
54,1029
54,1150
54,1353
54,1521
54,341
55,1634
55,233
56,1674
56,831
56,655
56,1399
56,204
56,1096
57,217
57,107
57,210
57,981
57,779
57,1143
57,147
57,1690
58,120
58,478
58,1101
58,250
58,950
58,1595
58,905
58,1733
58,1749
58,524
58,1388
58,820
59,1050
59,808
59,1658
59,703
59,1645
59,113
59,741
59,471
59,663
59,503
59,489
59,1389
59,1466
59,566
59,604
60,1613
60,1575
60,940
60,606
60,686
60,103
60,1623
60,1632
60,892
60,584
60,1086
60,1407
60,565
61,1581
61,200
61,1678
61,895
61,784
61,211
61,816
61,980
61,637
61,1125
61,1284
61,160
61,73
61,1296
61,1228
61,226
61,1689
61,257
61,677
61,934
61,436
61,1548
61,1275
61,757
62,1519
62,114
62,483
62,1748
62,64
62,702
62,357
63,492
63,1296
63,551
63,902
63,198
63,420
63,157
63,859
63,393
64,518
64,434
64,1147
64,1301
64,898
64,392
64,1140
64,1689
64,916
65,1281
65,505
65,931
65,626
65,1562
65,1299
66,235
66,687
66,199
66,1745
66,792
67,497
67,1697
67,551
67,211
67,1471
67,645
67,1493
67,456
68,457
68,707
68,83
68,174
68,346
68,1445
68,1197
68,1466
68,320
68,800
68,369
68,1441
68,1009
68,1213
68,1410
68,899
68,1002
68,652
68,1238
69,1328
69,1163
69,1547
69,1467
69,480
69,793
69,925
69,1036
69,1299
69,667
69,1349
69,1408
69,1426
69,939
69,794
69,1694
70,752
70,1101
70,551
70,1427
70,1715
70,574
70,1499
70,398
71,1378
71,1489
71,628
71,1228
71,1731
71,1235
71,910
71,1627
71,496
71,1769
71,1024
71,528
71,1278
71,204
72,489
72,1426
72,187
72,587
72,98
72,1132
72,593
72,779
73,570
73,1471
73,443
73,1753
73,1103
73,168
73,446
73,223
73,767
73,468
73,1445
73,769
73,833
73,1169
73,841
73,1328
73,1050
73,1190
73,1182
73,517
73,947
74,1591
74,287
74,588
74,1649
74,225
74,299
74,613
74,1403
74,469
74,1606
74,1108
74,1764
74,180
75,246
75,1550
75,867
75,1685
76,191
76,1640
76,1018
76,1687
76,1479
76,673
76,754
76,280
76,820
76,355
77,178
77,279
77,1218
77,503
77,927
77,756
77,157
77,1179
77,713
77,174
78,1224
78,1428
78,849
78,379
78,1163
78,953
78,89
78,706
79,1091
79,142
79,1406
79,1262
79,1174
79,1711
79,1267
79,971
79,690
79,1564
79,511
79,1483
79,1254
79,950
79,1074
79,1370
79,1214
79,1715
79,1782
79,1311
79,1000
79,817
79,1256
79,1257
79,1163
79,327
79,131
79,542
79,1120
79,1340
79,1758
79,394
79,1301
80,938
80,1696
80,1020
80,582
80,1608
81,689
81,1494
81,1211
81,1193
82,1343
