i,j
12.0,0.0
161.0,0.0
231.0,0.0
243.0,0.0
443.0,0.0
571.0,0.0
986.0,0.0
998.0,0.0
51.0,1.0
164.0,1.0
195.0,1.0
433.0,1.0
860.0,1.0
912.0,1.0
27.0,2.0
188.0,2.0
451.0,2.0
892.0,2.0
214.0,3.0
302.0,3.0
449.0,3.0
815.0,3.0
4.0,0.0
83.0,5.0
193.0,5.0
215.0,5.0
261.0,5.0
389.0,5.0
461.0,5.0
975.0,5.0
14.0,6.0
31.0,6.0
86.0,6.0
502.0,6.0
795.0,6.0
25.0,7.0
121.0,7.0
640.0,7.0
706.0,7.0
981.0,7.0
34.0,8.0
193.0,8.0
275.0,8.0
375.0,8.0
388.0,8.0
151.0,9.0
269.0,9.0
314.0,9.0
329.0,9.0
433.0,9.0
821.0,9.0
10.0,5.0
57.0,10.0
87.0,10.0
464.0,10.0
557.0,10.0
944.0,10.0
585.0,11.0
704.0,11.0
776.0,11.0
844.0,11.0
905.0,11.0
15.0,12.0
68.0,12.0
77.0,12.0
97.0,12.0
129.0,12.0
244.0,12.0
254.0,12.0
454.0,12.0
566.0,12.0
762.0,12.0
811.0,12.0
935.0,12.0
977.0,12.0
101.0,13.0
157.0,13.0
456.0,13.0
644.0,13.0
296.0,14.0
419.0,14.0
80.0,15.0
93.0,15.0
243.0,15.0
255.0,15.0
316.0,15.0
444.0,15.0
865.0,15.0
16.0,3.0
200.0,16.0
265.0,16.0
611.0,16.0
761.0,16.0
837.0,16.0
946.0,16.0
33.0,17.0
120.0,17.0
134.0,17.0
491.0,17.0
505.0,17.0
18.0,6.0
163.0,18.0
297.0,18.0
541.0,18.0
846.0,18.0
885.0,18.0
173.0,19.0
202.0,19.0
399.0,19.0
865.0,19.0
293.0,20.0
328.0,20.0
519.0,20.0
539.0,20.0
21.0,8.0
80.0,21.0
91.0,21.0
98.0,21.0
105.0,21.0
126.0,21.0
189.0,21.0
224.0,21.0
823.0,21.0
61.0,22.0
208.0,22.0
112.0,23.0
124.0,23.0
133.0,23.0
298.0,23.0
545.0,23.0
561.0,23.0
24.0,21.0
200.0,24.0
224.0,24.0
543.0,24.0
796.0,24.0
268.0,25.0
324.0,25.0
578.0,25.0
605.0,25.0
26.0,13.0
26.0,15.0
254.0,26.0
260.0,26.0
353.0,26.0
552.0,26.0
989.0,26.0
27.0,15.0
102.0,27.0
345.0,27.0
704.0,27.0
209.0,28.0
289.0,28.0
870.0,28.0
556.0,29.0
679.0,29.0
912.0,29.0
30.0,2.0
309.0,30.0
503.0,30.0
611.0,30.0
864.0,30.0
42.0,31.0
119.0,31.0
137.0,31.0
223.0,31.0
461.0,31.0
500.0,31.0
987.0,31.0
55.0,32.0
82.0,32.0
150.0,32.0
518.0,32.0
557.0,32.0
255.0,33.0
34.0,26.0
145.0,34.0
320.0,34.0
321.0,34.0
829.0,34.0
833.0,34.0
904.0,34.0
35.0,29.0
35.0,34.0
67.0,35.0
280.0,35.0
433.0,35.0
822.0,35.0
849.0,35.0
172.0,36.0
263.0,36.0
652.0,36.0
233.0,37.0
283.0,37.0
74.0,38.0
128.0,38.0
189.0,38.0
282.0,38.0
771.0,38.0
82.0,39.0
178.0,39.0
293.0,39.0
854.0,39.0
988.0,39.0
998.0,39.0
121.0,40.0
169.0,40.0
244.0,40.0
642.0,40.0
649.0,40.0
657.0,40.0
984.0,40.0
998.0,40.0
75.0,41.0
110.0,41.0
255.0,41.0
290.0,41.0
887.0,41.0
122.0,42.0
133.0,42.0
198.0,42.0
673.0,42.0
676.0,42.0
780.0,42.0
963.0,42.0
43.0,8.0
43.0,17.0
63.0,43.0
418.0,43.0
775.0,43.0
145.0,44.0
182.0,44.0
210.0,44.0
220.0,44.0
182.0,45.0
732.0,45.0
951.0,45.0
46.0,0.0
49.0,47.0
252.0,47.0
444.0,47.0
556.0,47.0
82.0,48.0
216.0,48.0
245.0,48.0
266.0,48.0
295.0,48.0
538.0,48.0
676.0,48.0
712.0,48.0
824.0,48.0
49.0,36.0
49.0,38.0
59.0,49.0
72.0,49.0
138.0,49.0
217.0,49.0
782.0,49.0
813.0,49.0
949.0,49.0
115.0,50.0
166.0,50.0
79.0,51.0
217.0,51.0
225.0,51.0
294.0,51.0
