i,j
168.0,0.0
174.0,0.0
274.0,0.0
531.0,0.0
1076.0,0.0
1094.0,0.0
1128.0,0.0
1381.0,0.0
307.0,1.0
420.0,1.0
699.0,1.0
1422.0,1.0
214.0,2.0
264.0,2.0
785.0,2.0
994.0,2.0
1346.0,2.0
47.0,3.0
572.0,3.0
637.0,3.0
1309.0,3.0
1380.0,3.0
42.0,4.0
45.0,4.0
415.0,4.0
892.0,4.0
1278.0,4.0
404.0,5.0
930.0,5.0
7.0,6.0
202.0,6.0
214.0,6.0
440.0,6.0
483.0,6.0
515.0,6.0
721.0,6.0
853.0,7.0
874.0,7.0
1129.0,7.0
1368.0,7.0
1442.0,7.0
1454.0,7.0
430.0,8.0
836.0,8.0
854.0,8.0
1205.0,8.0
774.0,9.0
885.0,9.0
206.0,10.0
910.0,10.0
1148.0,10.0
22.0,11.0
49.0,11.0
168.0,11.0
322.0,11.0
591.0,11.0
973.0,11.0
1181.0,11.0
1451.0,11.0
63.0,12.0
86.0,12.0
165.0,12.0
239.0,12.0
1441.0,12.0
268.0,13.0
844.0,13.0
949.0,13.0
270.0,14.0
401.0,14.0
1264.0,14.0
175.0,15.0
205.0,15.0
811.0,15.0
1212.0,15.0
1366.0,15.0
33.0,16.0
70.0,16.0
139.0,16.0
512.0,16.0
1010.0,16.0
1138.0,16.0
1186.0,16.0
495.0,17.0
646.0,17.0
829.0,17.0
72.0,18.0
177.0,18.0
586.0,18.0
815.0,18.0
935.0,18.0
994.0,18.0
1022.0,18.0
1062.0,18.0
1082.0,18.0
1210.0,18.0
1236.0,18.0
1326.0,18.0
163.0,19.0
372.0,19.0
912.0,19.0
972.0,19.0
1015.0,19.0
1116.0,19.0
1450.0,19.0
475.0,20.0
920.0,20.0
1029.0,20.0
1151.0,20.0
1290.0,20.0
1372.0,20.0
901.0,21.0
1090.0,21.0
327.0,22.0
397.0,22.0
455.0,22.0
845.0,22.0
1031.0,22.0
1271.0,22.0
1486.0,22.0
171.0,23.0
157.0,24.0
223.0,24.0
617.0,24.0
1423.0,24.0
1468.0,24.0
341.0,25.0
505.0,25.0
745.0,25.0
851.0,25.0
707.0,26.0
756.0,26.0
1125.0,26.0
1227.0,26.0
1495.0,26.0
547.0,27.0
938.0,27.0
1082.0,27.0
1365.0,27.0
1489.0,27.0
339.0,28.0
396.0,28.0
418.0,28.0
869.0,28.0
1267.0,28.0
1346.0,28.0
1494.0,28.0
29.0,17.0
782.0,29.0
794.0,29.0
899.0,29.0
928.0,29.0
1179.0,29.0
869.0,30.0
1066.0,30.0
1074.0,30.0
1119.0,30.0
1134.0,30.0
1181.0,30.0
1210.0,30.0
1497.0,31.0
65.0,32.0
494.0,32.0
910.0,32.0
1228.0,32.0
1244.0,32.0
1419.0,32.0
1428.0,32.0
303.0,33.0
395.0,33.0
917.0,33.0
959.0,33.0
1092.0,33.0
1435.0,33.0
34.0,0.0
526.0,35.0
711.0,35.0
824.0,35.0
999.0,35.0
1163.0,35.0
1437.0,35.0
211.0,36.0
739.0,36.0
775.0,36.0
990.0,36.0
1025.0,36.0
1100.0,36.0
1256.0,36.0
1278.0,36.0
1363.0,36.0
37.0,23.0
258.0,37.0
374.0,37.0
764.0,37.0
1055.0,37.0
292.0,38.0
300.0,38.0
504.0,38.0
609.0,38.0
701.0,38.0
832.0,38.0
1206.0,38.0
748.0,39.0
1453.0,39.0
1441.0,40.0
1470.0,40.0
178.0,41.0
192.0,41.0
218.0,41.0
220.0,41.0
628.0,41.0
112.0,42.0
414.0,42.0
954.0,42.0
1349.0,42.0
161.0,43.0
317.0,43.0
451.0,43.0
481.0,43.0
1306.0,43.0
1310.0,43.0
111.0,44.0
175.0,44.0
382.0,44.0
384.0,44.0
976.0,44.0
1368.0,44.0
110.0,45.0
306.0,45.0
364.0,45.0
483.0,45.0
529.0,45.0
596.0,45.0
848.0,45.0
954.0,45.0
1145.0,45.0
1221.0,45.0
46.0,35.0
1341.0,46.0
273.0,47.0
452.0,47.0
476.0,47.0
151.0,48.0
177.0,48.0
222.0,48.0
499.0,48.0
536.0,48.0
563.0,48.0
984.0,48.0
1118.0,48.0
1254.0,48.0
92.0,49.0
219.0,49.0
565.0,49.0
800.0,49.0
855.0,49.0
1079.0,49.0
123.0,50.0
198.0,50.0
412.0,50.0
523.0,50.0
657.0,50.0
757.0,50.0
773.0,50.0
833.0,50.0
927.0,50.0
962.0,50.0
171.0,51.0
553.0,51.0
602.0,51.0
808.0,51.0
1460.0,51.0
342.0,52.0
424.0,52.0
828.0,52.0
894.0,52.0
1066.0,52.0
1272.0,52.0
1376.0,52.0
176.0,53.0
656.0,53.0
1123.0,53.0
1438.0,53.0
90.0,54.0
331.0,54.0
506.0,54.0
952.0,54.0
1426.0,54.0
93.0,55.0
1451.0,55.0
103.0,56.0
168.0,56.0
369.0,56.0
658.0,56.0
732.0,56.0
1111.0,56.0
61.0,57.0
206.0,57.0
218.0,57.0
337.0,57.0
578.0,57.0
698.0,57.0
792.0,57.0
1277.0,57.0
1366.0,57.0
1487.0,57.0
1497.0,57.0
208.0,58.0
779.0,58.0
912.0,58.0
1292.0,58.0
600.0,59.0
630.0,59.0
966.0,59.0
1045.0,59.0
1232.0,59.0
1409.0,59.0
659.0,60.0
706.0,60.0
1221.0,60.0
430.0,61.0
62.0,24.0
437.0,62.0
510.0,62.0
1097.0,62.0
1273.0,62.0
1408.0,62.0
187.0,63.0
1258.0,63.0
843.0,64.0
921.0,64.0
935.0,64.0
456.0,65.0
477.0,65.0
542.0,65.0
692.0,65.0
1212.0,65.0
1425.0,65.0
66.0,40.0
66.0,63.0
597.0,66.0
813.0,66.0
962.0,66.0
1039.0,66.0
1263.0,66.0
92.0,67.0
177.0,67.0
282.0,67.0
453.0,67.0
556.0,67.0
887.0,67.0
1185.0,67.0
92.0,68.0
225.0,68.0
436.0,68.0
491.0,68.0
673.0,68.0
747.0,68.0
796.0,68.0
831.0,68.0
859.0,68.0
875.0,68.0
983.0,68.0
1041.0,68.0
1112.0,68.0
1145.0,68.0
69.0,67.0
237.0,69.0
488.0,69.0
557.0,69.0
1212.0,69.0
1486.0,69.0
547.0,70.0
1385.0,70.0
247.0,71.0
305.0,71.0
387.0,71.0
976.0,71.0
1435.0,71.0
1151.0,72.0
1268.0,72.0
354.0,73.0
955.0,73.0
1337.0,73.0
74.0,2.0
188.0,74.0
334.0,74.0
427.0,74.0
552.0,74.0
665.0,74.0
822.0,74.0
961.0,74.0
991.0,74.0
995.0,74.0
1104.0,74.0
1186.0,74.0
1362.0,74.0
151.0,75.0
154.0,75.0
256.0,75.0
429.0,75.0
879.0,75.0
1174.0,75.0
76.0,22.0
488.0,76.0
1145.0,76.0
109.0,77.0
192.0,77.0
316.0,77.0
817.0,77.0
926.0,77.0
1335.0,77.0
78.0,28.0
476.0,78.0
501.0,78.0
974.0,78.0
1282.0,78.0
1293.0,78.0
1358.0,78.0
1383.0,78.0
605.0,79.0
151.0,80.0
437.0,80.0
544.0,80.0
735.0,80.0
861.0,80.0
756.0,81.0
1484.0,81.0
82.0,77.0
314.0,82.0
501.0,82.0
658.0,82.0
1240.0,82.0
1496.0,82.0
372.0,83.0
461.0,83.0
577.0,83.0
655.0,83.0
802.0,83.0
845.0,83.0
1482.0,83.0
566.0,84.0
624.0,84.0
724.0,84.0
885.0,84.0
1056.0,84.0
1276.0,84.0
1286.0,84.0
297.0,85.0
381.0,85.0
632.0,85.0
686.0,85.0
869.0,85.0
1375.0,85.0
1104.0,86.0
1283.0,86.0
1290.0,86.0
119.0,87.0
