i,j
0.0,34.0
0.0,462.0
0.0,524.0
0.0,521.0
0.0,168.0
1.0,401.0
1.0,42.0
1.0,113.0
1.0,91.0
1.0,241.0
2.0,472.0
2.0,58.0
2.0,99.0
2.0,501.0
2.0,640.0
3.0,593.0
3.0,260.0
3.0,322.0
3.0,449.0
3.0,357.0
4.0,491.0
4.0,590.0
4.0,362.0
4.0,229.0
4.0,321.0
5.0,330.0
5.0,194.0
5.0,148.0
5.0,575.0
5.0,167.0
6.0,274.0
6.0,188.0
6.0,40.0
6.0,95.0
6.0,64.0
7.0,550.0
7.0,69.0
7.0,94.0
7.0,446.0
7.0,431.0
8.0,47.0
8.0,389.0
8.0,263.0
8.0,79.0
8.0,132.0
9.0,565.0
9.0,186.0
9.0,425.0
9.0,381.0
9.0,648.0
10.0,256.0
10.0,118.0
10.0,321.0
10.0,481.0
10.0,646.0
11.0,231.0
11.0,427.0
11.0,77.0
11.0,668.0
11.0,248.0
12.0,560.0
12.0,366.0
12.0,434.0
12.0,237.0
12.0,291.0
13.0,635.0
13.0,225.0
13.0,275.0
13.0,84.0
13.0,647.0
14.0,147.0
14.0,568.0
14.0,638.0
14.0,297.0
14.0,4.0
15.0,140.0
15.0,575.0
15.0,668.0
15.0,644.0
15.0,247.0
16.0,429.0
16.0,93.0
16.0,206.0
16.0,157.0
16.0,303.0
17.0,426.0
17.0,248.0
17.0,317.0
17.0,357.0
17.0,154.0
18.0,520.0
18.0,52.0
18.0,623.0
18.0,636.0
18.0,580.0
19.0,376.0
19.0,354.0
19.0,443.0
19.0,317.0
19.0,388.0
20.0,91.0
20.0,25.0
20.0,211.0
20.0,210.0
20.0,582.0
21.0,203.0
21.0,601.0
21.0,625.0
21.0,271.0
21.0,389.0
22.0,213.0
22.0,664.0
22.0,121.0
22.0,81.0
22.0,480.0
23.0,34.0
23.0,322.0
23.0,217.0
23.0,227.0
23.0,288.0
24.0,574.0
24.0,344.0
24.0,141.0
24.0,531.0
24.0,640.0
25.0,577.0
25.0,20.0
25.0,533.0
25.0,350.0
25.0,306.0
26.0,461.0
26.0,284.0
26.0,552.0
26.0,222.0
26.0,435.0
27.0,417.0
27.0,444.0
27.0,3.0
27.0,592.0
27.0,626.0
28.0,261.0
28.0,136.0
28.0,396.0
28.0,199.0
28.0,13.0
29.0,253.0
29.0,620.0
29.0,586.0
29.0,168.0
29.0,329.0
30.0,116.0
30.0,448.0
30.0,216.0
30.0,333.0
30.0,511.0
31.0,280.0
31.0,400.0
31.0,268.0
31.0,242.0
31.0,336.0
32.0,24.0
32.0,323.0
32.0,411.0
32.0,13.0
32.0,531.0
33.0,479.0
33.0,116.0
33.0,534.0
33.0,418.0
33.0,118.0
34.0,461.0
34.0,351.0
34.0,121.0
34.0,319.0
34.0,217.0
35.0,443.0
35.0,84.0
35.0,226.0
35.0,300.0
35.0,243.0
36.0,81.0
36.0,230.0
36.0,532.0
36.0,599.0
36.0,321.0
37.0,212.0
37.0,668.0
37.0,227.0
37.0,660.0
37.0,357.0
38.0,72.0
38.0,99.0
38.0,518.0
38.0,192.0
38.0,245.0
39.0,407.0
39.0,3.0
39.0,577.0
39.0,504.0
39.0,224.0
40.0,423.0
40.0,311.0
40.0,183.0
40.0,147.0
40.0,177.0
41.0,522.0
41.0,600.0
41.0,505.0
41.0,183.0
41.0,652.0
42.0,289.0
42.0,577.0
42.0,251.0
42.0,665.0
42.0,83.0
43.0,328.0
43.0,611.0
43.0,613.0
43.0,183.0
43.0,372.0
44.0,160.0
44.0,369.0
44.0,387.0
44.0,306.0
44.0,584.0
45.0,122.0
45.0,264.0
45.0,653.0
45.0,521.0
45.0,332.0
46.0,401.0
46.0,668.0
46.0,649.0
46.0,591.0
46.0,352.0
47.0,360.0
47.0,335.0
47.0,370.0
47.0,431.0
47.0,357.0
48.0,370.0
48.0,600.0
48.0,323.0
48.0,446.0
48.0,586.0
49.0,474.0
49.0,419.0
49.0,372.0
49.0,280.0
49.0,213.0
50.0,249.0
50.0,316.0
50.0,426.0
50.0,11.0
50.0,604.0
51.0,70.0
51.0,184.0
51.0,62.0
51.0,326.0
51.0,505.0
52.0,548.0
52.0,226.0
52.0,640.0
52.0,251.0
52.0,333.0
53.0,261.0
53.0,657.0
53.0,605.0
53.0,71.0
53.0,562.0
54.0,2.0
54.0,18.0
54.0,152.0
54.0,473.0
54.0,440.0
55.0,77.0
55.0,334.0
55.0,512.0
55.0,555.0
55.0,575.0
56.0,68.0
56.0,75.0
56.0,526.0
56.0,626.0
56.0,114.0
57.0,546.0
57.0,315.0
57.0,321.0
57.0,337.0
57.0,389.0
58.0,569.0
58.0,479.0
58.0,627.0
58.0,528.0
58.0,335.0
59.0,260.0
59.0,91.0
59.0,55.0
59.0,446.0
59.0,401.0
60.0,54.0
60.0,462.0
60.0,84.0
60.0,62.0
60.0,626.0
61.0,261.0
61.0,43.0
61.0,385.0
61.0,522.0
61.0,217.0
62.0,194.0
62.0,611.0
62.0,121.0
62.0,123.0
62.0,177.0
63.0,608.0
63.0,129.0
63.0,272.0
63.0,652.0
63.0,335.0
64.0,245.0
64.0,453.0
64.0,620.0
64.0,423.0
64.0,607.0
65.0,136.0
65.0,392.0
65.0,5.0
65.0,214.0
65.0,532.0
66.0,571.0
66.0,10.0
66.0,211.0
66.0,321.0
66.0,153.0
67.0,135.0
67.0,642.0
67.0,372.0
67.0,258.0
67.0,398.0
68.0,174.0
68.0,310.0
68.0,95.0
68.0,288.0
68.0,536.0
69.0,93.0
69.0,207.0
69.0,458.0
69.0,63.0
69.0,644.0
70.0,635.0
70.0,486.0
70.0,3.0
70.0,549.0
70.0,2.0
71.0,53.0
71.0,249.0
71.0,648.0
71.0,269.0
71.0,271.0
72.0,495.0
72.0,130.0
72.0,318.0
72.0,100.0
72.0,342.0
73.0,521.0
73.0,640.0
73.0,534.0
73.0,240.0
73.0,457.0
74.0,478.0
74.0,124.0
74.0,660.0
74.0,583.0
74.0,374.0
75.0,245.0
75.0,447.0
75.0,391.0
75.0,2.0
75.0,80.0
76.0,335.0
76.0,83.0
76.0,113.0
76.0,447.0
76.0,612.0
77.0,409.0
77.0,586.0
77.0,401.0
77.0,351.0
77.0,500.0
78.0,473.0
78.0,293.0
78.0,525.0
78.0,181.0
78.0,253.0
79.0,533.0
79.0,118.0
79.0,627.0
79.0,233.0
79.0,558.0
80.0,612.0
80.0,132.0
80.0,320.0
80.0,664.0
80.0,364.0
81.0,526.0
81.0,185.0
81.0,352.0
81.0,253.0
81.0,214.0
82.0,248.0
82.0,652.0
82.0,661.0
82.0,47.0
82.0,268.0
83.0,662.0
83.0,165.0
83.0,562.0
83.0,418.0
83.0,630.0
84.0,366.0
84.0,446.0
84.0,623.0
84.0,383.0
84.0,444.0
85.0,7.0
85.0,388.0
85.0,394.0
85.0,132.0
85.0,206.0
86.0,533.0
86.0,522.0
86.0,357.0
86.0,275.0
86.0,113.0
87.0,451.0
87.0,179.0
87.0,352.0
87.0,339.0
87.0,68.0
88.0,157.0
88.0,452.0
88.0,429.0
88.0,661.0
88.0,351.0
89.0,257.0
89.0,313.0
89.0,565.0
89.0,95.0
89.0,658.0
90.0,104.0
90.0,556.0
90.0,262.0
90.0,13.0
90.0,551.0
91.0,239.0
91.0,534.0
91.0,247.0
91.0,388.0
91.0,328.0
92.0,50.0
92.0,456.0
92.0,316.0
92.0,496.0
92.0,175.0
93.0,438.0
93.0,85.0
93.0,347.0
93.0,394.0
93.0,219.0
94.0,551.0
94.0,210.0
94.0,611.0
94.0,577.0
94.0,433.0
95.0,497.0
95.0,376.0
95.0,657.0
95.0,9.0
95.0,444.0
96.0,662.0
96.0,596.0
96.0,94.0
96.0,638.0
96.0,399.0
97.0,163.0
97.0,603.0
97.0,615.0
97.0,654.0
97.0,467.0
98.0,582.0
98.0,195.0
98.0,262.0
98.0,335.0
98.0,252.0
99.0,519.0
99.0,161.0
99.0,475.0
99.0,579.0
99.0,651.0
100.0,526.0
100.0,247.0
100.0,520.0
100.0,14.0
100.0,653.0
101.0,202.0
101.0,150.0
101.0,100.0
101.0,26.0
101.0,235.0
102.0,39.0
102.0,388.0
102.0,582.0
102.0,323.0
102.0,432.0
103.0,204.0
103.0,189.0
103.0,319.0
103.0,322.0
103.0,535.0
104.0,156.0
104.0,178.0
104.0,125.0
104.0,343.0
104.0,514.0
105.0,252.0
105.0,245.0
105.0,529.0
105.0,254.0
105.0,618.0
106.0,467.0
106.0,457.0
106.0,116.0
106.0,399.0
106.0,546.0
107.0,118.0
107.0,307.0
107.0,288.0
107.0,124.0
107.0,74.0
108.0,474.0
108.0,136.0
108.0,442.0
108.0,142.0
108.0,544.0
109.0,111.0
109.0,154.0
109.0,4.0
109.0,298.0
109.0,319.0
110.0,624.0
110.0,471.0
110.0,168.0
110.0,300.0
110.0,296.0
111.0,628.0
111.0,668.0
111.0,585.0
111.0,346.0
111.0,275.0
112.0,421.0
112.0,543.0
112.0,184.0
112.0,152.0
112.0,51.0
113.0,410.0
113.0,84.0
113.0,351.0
113.0,545.0
113.0,13.0
114.0,450.0
114.0,493.0
114.0,638.0
114.0,123.0
114.0,103.0
115.0,433.0
115.0,365.0
115.0,456.0
115.0,104.0
115.0,231.0
116.0,640.0
116.0,430.0
116.0,587.0
116.0,574.0
116.0,30.0
117.0,0.0
117.0,638.0
117.0,111.0
117.0,12.0
117.0,654.0
118.0,163.0
118.0,317.0
118.0,618.0
118.0,608.0
118.0,540.0
119.0,668.0
119.0,150.0
119.0,641.0
119.0,18.0
119.0,41.0
120.0,72.0
120.0,447.0
120.0,237.0
120.0,307.0
120.0,512.0
121.0,603.0
121.0,508.0
121.0,630.0
121.0,654.0
121.0,536.0
122.0,668.0
122.0,262.0
122.0,296.0
122.0,14.0
122.0,62.0
123.0,630.0
123.0,439.0
123.0,383.0
123.0,585.0
123.0,401.0
124.0,322.0
124.0,240.0
124.0,63.0
124.0,487.0
124.0,545.0
125.0,194.0
125.0,591.0
125.0,355.0
125.0,645.0
125.0,512.0
126.0,297.0
126.0,184.0
126.0,351.0
126.0,330.0
126.0,593.0
127.0,476.0
127.0,337.0
127.0,92.0
127.0,435.0
127.0,625.0
128.0,476.0
128.0,140.0
128.0,361.0
128.0,26.0
128.0,307.0
129.0,498.0
129.0,297.0
129.0,268.0
129.0,322.0
129.0,532.0
130.0,568.0
130.0,84.0
130.0,126.0
130.0,362.0
130.0,135.0
131.0,93.0
131.0,439.0
131.0,217.0
131.0,378.0
131.0,638.0
132.0,542.0
132.0,492.0
132.0,443.0
132.0,66.0
132.0,236.0
133.0,232.0
133.0,180.0
