i,j
255.0,0.0
172.0,1.0
419.0,1.0
594.0,1.0
66.0,2.0
67.0,2.0
456.0,2.0
486.0,2.0
128.0,3.0
194.0,3.0
530.0,3.0
744.0,3.0
949.0,3.0
183.0,4.0
225.0,4.0
290.0,4.0
160.0,5.0
950.0,5.0
160.0,6.0
173.0,6.0
354.0,6.0
529.0,6.0
625.0,6.0
923.0,6.0
961.0,6.0
541.0,7.0
405.0,8.0
867.0,8.0
296.0,9.0
582.0,9.0
686.0,9.0
617.0,10.0
160.0,11.0
406.0,11.0
405.0,12.0
595.0,12.0
758.0,12.0
894.0,12.0
482.0,13.0
686.0,13.0
838.0,13.0
861.0,13.0
173.0,14.0
495.0,14.0
865.0,15.0
208.0,16.0
757.0,16.0
137.0,17.0
266.0,17.0
736.0,17.0
828.0,17.0
167.0,18.0
370.0,18.0
651.0,18.0
773.0,18.0
817.0,18.0
48.0,19.0
865.0,20.0
102.0,21.0
282.0,21.0
880.0,21.0
865.0,22.0
865.0,23.0
493.0,24.0
25.0,17.0
134.0,25.0
227.0,25.0
495.0,25.0
482.0,26.0
517.0,26.0
519.0,26.0
937.0,26.0
69.0,27.0
411.0,27.0
604.0,27.0
682.0,28.0
341.0,29.0
457.0,29.0
578.0,29.0
645.0,29.0
809.0,29.0
99.0,30.0
865.0,31.0
339.0,32.0
875.0,32.0
552.0,33.0
602.0,33.0
899.0,33.0
343.0,34.0
408.0,34.0
639.0,34.0
961.0,35.0
595.0,36.0
840.0,36.0
922.0,36.0
84.0,37.0
459.0,37.0
770.0,37.0
116.0,38.0
124.0,38.0
234.0,38.0
330.0,38.0
351.0,38.0
382.0,38.0
787.0,38.0
138.0,39.0
236.0,40.0
327.0,40.0
632.0,40.0
688.0,40.0
729.0,40.0
184.0,41.0
269.0,41.0
652.0,41.0
741.0,41.0
279.0,42.0
359.0,42.0
491.0,42.0
644.0,42.0
690.0,42.0
468.0,43.0
565.0,43.0
768.0,44.0
888.0,44.0
901.0,44.0
45.0,29.0
216.0,45.0
376.0,45.0
472.0,45.0
802.0,45.0
870.0,45.0
946.0,45.0
967.0,45.0
46.0,7.0
388.0,47.0
392.0,47.0
407.0,47.0
136.0,48.0
470.0,48.0
610.0,49.0
424.0,50.0
828.0,50.0
865.0,51.0
55.0,52.0
82.0,52.0
552.0,52.0
629.0,52.0
812.0,52.0
844.0,52.0
528.0,53.0
678.0,53.0
62.0,54.0
381.0,54.0
