i,j
177.0,0.0
398.0,0.0
463.0,0.0
484.0,0.0
731.0,0.0
995.0,0.0
151.0,1.0
240.0,1.0
126.0,2.0
491.0,2.0
809.0,2.0
952.0,2.0
3.0,1.0
61.0,3.0
767.0,3.0
941.0,3.0
11.0,4.0
416.0,4.0
757.0,4.0
129.0,5.0
178.0,5.0
187.0,5.0
198.0,5.0
284.0,5.0
281.0,6.0
934.0,6.0
14.0,7.0
584.0,7.0
765.0,7.0
1027.0,7.0
153.0,8.0
170.0,9.0
569.0,10.0
57.0,11.0
67.0,11.0
84.0,11.0
312.0,11.0
89.0,12.0
149.0,12.0
346.0,12.0
382.0,12.0
493.0,12.0
305.0,13.0
812.0,13.0
46.0,14.0
50.0,14.0
670.0,14.0
85.0,15.0
249.0,15.0
295.0,15.0
884.0,15.0
279.0,16.0
784.0,16.0
82.0,17.0
517.0,17.0
777.0,17.0
53.0,18.0
149.0,18.0
180.0,18.0
146.0,19.0
403.0,19.0
490.0,19.0
96.0,20.0
122.0,20.0
22.0,21.0
73.0,21.0
107.0,21.0
43.0,22.0
80.0,22.0
371.0,22.0
92.0,23.0
190.0,23.0
699.0,23.0
231.0,24.0
147.0,25.0
278.0,25.0
811.0,25.0
170.0,26.0
113.0,27.0
170.0,27.0
96.0,28.0
155.0,28.0
160.0,28.0
29.0,0.0
30.0,1.0
30.0,21.0
206.0,30.0
466.0,30.0
580.0,30.0
958.0,30.0
117.0,31.0
521.0,31.0
961.0,31.0
78.0,32.0
85.0,32.0
89.0,32.0
148.0,32.0
945.0,32.0
175.0,33.0
406.0,33.0
907.0,33.0
57.0,34.0
107.0,34.0
169.0,34.0
524.0,34.0
104.0,35.0
723.0,35.0
115.0,36.0
591.0,36.0
281.0,37.0
876.0,37.0
130.0,38.0
854.0,38.0
989.0,38.0
59.0,39.0
69.0,39.0
466.0,39.0
493.0,39.0
598.0,39.0
40.0,0.0
260.0,41.0
262.0,41.0
579.0,41.0
619.0,41.0
958.0,41.0
42.0,27.0
848.0,42.0
274.0,43.0
786.0,43.0
67.0,44.0
81.0,44.0
164.0,44.0
179.0,44.0
82.0,45.0
48.0,46.0
91.0,46.0
120.0,46.0
388.0,46.0
708.0,46.0
741.0,46.0
780.0,46.0
557.0,47.0
995.0,47.0
88.0,48.0
663.0,48.0
870.0,48.0
49.0,20.0
192.0,49.0
387.0,49.0
975.0,49.0
50.0,22.0
608.0,50.0
799.0,50.0
51.0,9.0
51.0,41.0
73.0,51.0
189.0,52.0
498.0,52.0
892.0,52.0
192.0,53.0
756.0,53.0
83.0,54.0
206.0,54.0
55.0,13.0
55.0,53.0
105.0,55.0
195.0,55.0
61.0,56.0
112.0,56.0
139.0,56.0
57.0,40.0
66.0,57.0
96.0,57.0
725.0,57.0
727.0,58.0
927.0,58.0
59.0,23.0
183.0,59.0
908.0,60.0
61.0,25.0
112.0,61.0
153.0,61.0
342.0,62.0
104.0,63.0
151.0,63.0
766.0,63.0
1022.0,63.0
69.0,64.0
75.0,64.0
80.0,64.0
415.0,64.0
117.0,65.0
254.0,65.0
276.0,65.0
391.0,65.0
767.0,65.0
817.0,65.0
981.0,65.0
66.0,38.0
67.0,66.0
101.0,67.0
117.0,67.0
482.0,67.0
107.0,68.0
249.0,68.0
950.0,68.0
69.0,0.0
144.0,70.0
753.0,70.0
81.0,71.0
144.0,71.0
170.0,71.0
197.0,71.0
231.0,71.0
461.0,71.0
668.0,71.0
809.0,71.0
897.0,71.0
72.0,0.0
197.0,73.0
723.0,73.0
100.0,74.0
183.0,74.0
210.0,74.0
255.0,74.0
75.0,36.0
113.0,75.0
136.0,75.0
165.0,76.0
186.0,76.0
483.0,76.0
990.0,76.0
77.0,0.0
354.0,78.0
87.0,79.0
137.0,79.0
313.0,79.0
483.0,79.0
737.0,79.0
983.0,79.0
80.0,7.0
81.0,80.0
116.0,80.0
190.0,80.0
826.0,80.0
81.0,36.0
189.0,81.0
191.0,81.0
887.0,81.0
912.0,81.0
82.0,9.0
139.0,82.0
192.0,82.0
416.0,82.0
848.0,82.0
83.0,0.0
478.0,83.0
971.0,83.0
84.0,47.0
84.0,63.0
85.0,0.0
113.0,86.0
87.0,43.0
88.0,0.0
89.0,40.0
90.0,49.0
90.0,80.0
97.0,90.0
140.0,90.0
162.0,90.0
455.0,90.0
501.0,90.0
788.0,90.0
91.0,54.0
656.0,91.0
1022.0,91.0
92.0,45.0
108.0,92.0
159.0,92.0
306.0,92.0
718.0,93.0
99.0,94.0
239.0,94.0
960.0,94.0
977.0,94.0
122.0,95.0
296.0,95.0
357.0,95.0
96.0,0.0
97.0,65.0
97.0,76.0
140.0,97.0
617.0,97.0
812.0,97.0
98.0,17.0
210.0,98.0
287.0,98.0
914.0,98.0
99.0,0.0
99.0,1.0
383.0,99.0
802.0,99.0
100.0,28.0
202.0,100.0
591.0,100.0
101.0,0.0
102.0,5.0
219.0,103.0
260.0,103.0
480.0,103.0
859.0,103.0
906.0,103.0
149.0,104.0
344.0,104.0
105.0,44.0
105.0,60.0
119.0,106.0
140.0,106.0
672.0,106.0
685.0,106.0
107.0,103.0
256.0,107.0
407.0,107.0
187.0,108.0
527.0,108.0
562.0,108.0
774.0,108.0
854.0,108.0
109.0,98.0
158.0,109.0
174.0,109.0
204.0,109.0
482.0,109.0
661.0,110.0
111.0,58.0
174.0,111.0
1030.0,111.0
112.0,101.0
146.0,112.0
204.0,112.0
660.0,112.0
854.0,112.0
876.0,113.0
202.0,114.0
425.0,114.0
653.0,114.0
746.0,114.0
861.0,114.0
115.0,62.0
129.0,115.0
134.0,115.0
164.0,115.0
169.0,115.0
116.0,76.0
444.0,117.0
468.0,117.0
1016.0,117.0
899.0,118.0
202.0,119.0
490.0,119.0
120.0,17.0
120.0,62.0
920.0,121.0
177.0,122.0
185.0,122.0
123.0,88.0
141.0,123.0
174.0,123.0
195.0,123.0
124.0,69.0
138.0,124.0
161.0,124.0
357.0,125.0
126.0,58.0
190.0,126.0
127.0,95.0
171.0,127.0
596.0,127.0
466.0,128.0
480.0,128.0
129.0,110.0
150.0,129.0
263.0,129.0
597.0,129.0
744.0,129.0
877.0,129.0
130.0,30.0
203.0,130.0
774.0,131.0
806.0,131.0
257.0,132.0
133.0,61.0
133.0,106.0
134.0,13.0
134.0,72.0
1027.0,134.0
135.0,0.0
136.0,108.0
137.0,136.0
253.0,136.0
310.0,136.0
531.0,136.0
137.0,73.0
