i,j
82.0,0.0
155.0,0.0
163.0,0.0
218.0,0.0
377.0,0.0
419.0,0.0
545.0,0.0
551.0,0.0
923.0,0.0
16.0,1.0
199.0,1.0
238.0,1.0
401.0,1.0
477.0,1.0
505.0,1.0
846.0,1.0
952.0,1.0
14.0,2.0
164.0,2.0
308.0,2.0
507.0,2.0
553.0,2.0
763.0,2.0
955.0,2.0
985.0,2.0
197.0,3.0
320.0,3.0
532.0,3.0
537.0,3.0
660.0,3.0
666.0,3.0
742.0,3.0
784.0,3.0
931.0,3.0
30.0,4.0
165.0,4.0
268.0,4.0
307.0,4.0
541.0,4.0
706.0,4.0
710.0,4.0
868.0,4.0
871.0,4.0
888.0,4.0
69.0,5.0
78.0,5.0
91.0,5.0
92.0,5.0
93.0,5.0
176.0,5.0
273.0,5.0
300.0,5.0
352.0,5.0
392.0,5.0
559.0,5.0
613.0,5.0
676.0,5.0
878.0,5.0
28.0,6.0
38.0,6.0
71.0,6.0
168.0,6.0
178.0,6.0
255.0,6.0
395.0,6.0
464.0,6.0
491.0,6.0
524.0,6.0
568.0,6.0
610.0,6.0
628.0,6.0
703.0,6.0
716.0,6.0
732.0,6.0
55.0,7.0
117.0,7.0
170.0,7.0
213.0,7.0
244.0,7.0
337.0,7.0
346.0,7.0
433.0,7.0
590.0,7.0
623.0,7.0
762.0,7.0
839.0,7.0
871.0,7.0
109.0,8.0
114.0,8.0
176.0,8.0
241.0,8.0
273.0,8.0
288.0,8.0
422.0,8.0
644.0,8.0
736.0,8.0
842.0,8.0
882.0,8.0
897.0,8.0
41.0,9.0
66.0,9.0
87.0,9.0
103.0,9.0
174.0,9.0
232.0,9.0
367.0,9.0
375.0,9.0
545.0,9.0
607.0,9.0
614.0,9.0
696.0,9.0
704.0,9.0
719.0,9.0
730.0,9.0
833.0,9.0
834.0,9.0
878.0,9.0
901.0,9.0
959.0,9.0
105.0,10.0
125.0,10.0
233.0,10.0
244.0,10.0
247.0,10.0
258.0,10.0
299.0,10.0
342.0,10.0
445.0,10.0
587.0,10.0
672.0,10.0
699.0,10.0
789.0,10.0
798.0,10.0
867.0,10.0
943.0,10.0
968.0,10.0
56.0,11.0
173.0,11.0
211.0,11.0
221.0,11.0
315.0,11.0
427.0,11.0
712.0,11.0
714.0,11.0
883.0,11.0
104.0,12.0
156.0,12.0
217.0,12.0
243.0,12.0
284.0,12.0
315.0,12.0
323.0,12.0
454.0,12.0
623.0,12.0
626.0,12.0
726.0,12.0
786.0,12.0
826.0,12.0
832.0,12.0
839.0,12.0
977.0,12.0
13.0,2.0
21.0,13.0
77.0,13.0
187.0,13.0
241.0,13.0
313.0,13.0
605.0,13.0
631.0,13.0
192.0,14.0
423.0,14.0
427.0,14.0
440.0,14.0
570.0,14.0
651.0,14.0
884.0,14.0
904.0,14.0
933.0,14.0
39.0,15.0
57.0,15.0
75.0,15.0
106.0,15.0
452.0,15.0
573.0,15.0
584.0,15.0
649.0,15.0
667.0,15.0
753.0,15.0
819.0,15.0
911.0,15.0
245.0,16.0
281.0,16.0
374.0,16.0
386.0,16.0
422.0,16.0
601.0,16.0
642.0,16.0
654.0,16.0
657.0,16.0
712.0,16.0
775.0,16.0
787.0,16.0
791.0,16.0
846.0,16.0
125.0,17.0
183.0,17.0
189.0,17.0
426.0,17.0
541.0,17.0
622.0,17.0
715.0,17.0
765.0,17.0
939.0,17.0
952.0,17.0
18.0,13.0
103.0,18.0
193.0,18.0
313.0,18.0
340.0,18.0
353.0,18.0
461.0,18.0
532.0,18.0
595.0,18.0
648.0,18.0
884.0,18.0
19.0,2.0
99.0,19.0
258.0,19.0
292.0,19.0
321.0,19.0
374.0,19.0
426.0,19.0
645.0,19.0
723.0,19.0
772.0,19.0
801.0,19.0
876.0,19.0
889.0,19.0
965.0,19.0
75.0,20.0
94.0,20.0
103.0,20.0
157.0,20.0
246.0,20.0
440.0,20.0
461.0,20.0
510.0,20.0
529.0,20.0
585.0,20.0
604.0,20.0
729.0,20.0
734.0,20.0
748.0,20.0
923.0,20.0
72.0,21.0
73.0,21.0
80.0,21.0
88.0,21.0
99.0,21.0
162.0,21.0
226.0,21.0
307.0,21.0
376.0,21.0
437.0,21.0
691.0,21.0
780.0,21.0
896.0,21.0
945.0,21.0
47.0,22.0
72.0,22.0
79.0,22.0
186.0,22.0
237.0,22.0
270.0,22.0
338.0,22.0
396.0,22.0
456.0,22.0
507.0,22.0
518.0,22.0
542.0,22.0
673.0,22.0
701.0,22.0
790.0,22.0
827.0,22.0
900.0,22.0
911.0,22.0
149.0,23.0
158.0,23.0
225.0,23.0
292.0,23.0
367.0,23.0
373.0,23.0
386.0,23.0
443.0,23.0
548.0,23.0
782.0,23.0
979.0,23.0
34.0,24.0
56.0,24.0
152.0,24.0
260.0,24.0
350.0,24.0
456.0,24.0
531.0,24.0
566.0,24.0
657.0,24.0
760.0,24.0
831.0,24.0
883.0,24.0
961.0,24.0
964.0,24.0
173.0,25.0
202.0,25.0
314.0,25.0
365.0,25.0
375.0,25.0
421.0,25.0
487.0,25.0
506.0,25.0
615.0,25.0
820.0,25.0
842.0,25.0
114.0,26.0
136.0,26.0
164.0,26.0
178.0,26.0
368.0,26.0
492.0,26.0
648.0,26.0
732.0,26.0
917.0,26.0
84.0,27.0
93.0,27.0
184.0,27.0
193.0,27.0
245.0,27.0
261.0,27.0
399.0,27.0
410.0,27.0
469.0,27.0
483.0,27.0
495.0,27.0
527.0,27.0
564.0,27.0
832.0,27.0
874.0,27.0
32.0,28.0
127.0,28.0
186.0,28.0
190.0,28.0
303.0,28.0
321.0,28.0
759.0,28.0
796.0,28.0
797.0,28.0
49.0,29.0
51.0,29.0
65.0,29.0
256.0,29.0
463.0,29.0
531.0,29.0
775.0,29.0
777.0,29.0
837.0,29.0
942.0,29.0
965.0,29.0
40.0,30.0
126.0,30.0
165.0,30.0
282.0,30.0
319.0,30.0
351.0,30.0
385.0,30.0
420.0,30.0
425.0,30.0
472.0,30.0
555.0,30.0
589.0,30.0
660.0,30.0
865.0,30.0
97.0,31.0
106.0,31.0
257.0,31.0
269.0,31.0
411.0,31.0
447.0,31.0
560.0,31.0
614.0,31.0
737.0,31.0
805.0,31.0
901.0,31.0
916.0,31.0
96.0,32.0
138.0,32.0
179.0,32.0
425.0,32.0
661.0,32.0
720.0,32.0
912.0,32.0
917.0,32.0
964.0,32.0
60.0,33.0
200.0,33.0
218.0,33.0
269.0,33.0
407.0,33.0
591.0,33.0
674.0,33.0
729.0,33.0
735.0,33.0
748.0,33.0
816.0,33.0
859.0,33.0
949.0,33.0
71.0,34.0
82.0,34.0
119.0,34.0
130.0,34.0
186.0,34.0
212.0,34.0
251.0,34.0
262.0,34.0
411.0,34.0
423.0,34.0
515.0,34.0
740.0,34.0
813.0,34.0
867.0,34.0
869.0,34.0
972.0,34.0
123.0,35.0
184.0,35.0
260.0,35.0
263.0,35.0
400.0,35.0
582.0,35.0
180.0,36.0
227.0,36.0
340.0,36.0
357.0,36.0
386.0,36.0
424.0,36.0
442.0,36.0
601.0,36.0
636.0,36.0
750.0,36.0
764.0,36.0
833.0,36.0
955.0,36.0
51.0,37.0
142.0,37.0
155.0,37.0
209.0,37.0
241.0,37.0
388.0,37.0
399.0,37.0
409.0,37.0
540.0,37.0
636.0,37.0
654.0,37.0
675.0,37.0
735.0,37.0
817.0,37.0
873.0,37.0
134.0,38.0
341.0,38.0
426.0,38.0
439.0,38.0
463.0,38.0
479.0,38.0
512.0,38.0
515.0,38.0
516.0,38.0
531.0,38.0
623.0,38.0
646.0,38.0
662.0,38.0
728.0,38.0
785.0,38.0
845.0,38.0
878.0,38.0
913.0,38.0
928.0,38.0
39.0,14.0
225.0,39.0
281.0,39.0
499.0,39.0
606.0,39.0
651.0,39.0
781.0,39.0
824.0,39.0
69.0,40.0
199.0,40.0
300.0,40.0
349.0,40.0
367.0,40.0
573.0,40.0
590.0,40.0
630.0,40.0
697.0,40.0
728.0,40.0
838.0,40.0
860.0,40.0
861.0,40.0
43.0,41.0
208.0,41.0
364.0,41.0
522.0,41.0
530.0,41.0
735.0,41.0
954.0,41.0
969.0,41.0
42.0,0.0
105.0,42.0
160.0,42.0
342.0,42.0
360.0,42.0
390.0,42.0
492.0,42.0
522.0,42.0
595.0,42.0
714.0,42.0
54.0,43.0
58.0,43.0
116.0,43.0
232.0,43.0
238.0,43.0
350.0,43.0
541.0,43.0
601.0,43.0
667.0,43.0
766.0,43.0
916.0,43.0
959.0,43.0
973.0,43.0
44.0,7.0
78.0,44.0
168.0,44.0
298.0,44.0
396.0,44.0
408.0,44.0
527.0,44.0
556.0,44.0
883.0,44.0
89.0,45.0
148.0,45.0
264.0,45.0
497.0,45.0
514.0,45.0
905.0,45.0
937.0,45.0
46.0,12.0
98.0,46.0
137.0,46.0
163.0,46.0
255.0,46.0
333.0,46.0
416.0,46.0
524.0,46.0
607.0,46.0
692.0,46.0
697.0,46.0
704.0,46.0
764.0,46.0
843.0,46.0
849.0,46.0
865.0,46.0
127.0,47.0
179.0,47.0
253.0,47.0
334.0,47.0
338.0,47.0
438.0,47.0
538.0,47.0
568.0,47.0
615.0,47.0
680.0,47.0
721.0,47.0
750.0,47.0
766.0,47.0
800.0,47.0
902.0,47.0
973.0,47.0
48.0,19.0
73.0,48.0
133.0,48.0
148.0,48.0
153.0,48.0
199.0,48.0
245.0,48.0
337.0,48.0
439.0,48.0
514.0,48.0
566.0,48.0
668.0,48.0
679.0,48.0
737.0,48.0
800.0,48.0
840.0,48.0
49.0,25.0
67.0,49.0
99.0,49.0
211.0,49.0
420.0,49.0
572.0,49.0
713.0,49.0
824.0,49.0
871.0,49.0
901.0,49.0
911.0,49.0
968.0,49.0
111.0,50.0
192.0,50.0
298.0,50.0
388.0,50.0
395.0,50.0
433.0,50.0
445.0,50.0
505.0,50.0
617.0,50.0
645.0,50.0
706.0,50.0
778.0,50.0
842.0,50.0
846.0,50.0
865.0,50.0
957.0,50.0
55.0,51.0
82.0,51.0
157.0,51.0
318.0,51.0
352.0,51.0
416.0,51.0
508.0,51.0
526.0,51.0
618.0,51.0
675.0,51.0
52.0,10.0
52.0,40.0
83.0,52.0
373.0,52.0
437.0,52.0
578.0,52.0
580.0,52.0
780.0,52.0
807.0,52.0
915.0,52.0
53.0,12.0
76.0,53.0
210.0,53.0
246.0,53.0
278.0,53.0
512.0,53.0
531.0,53.0
549.0,53.0
611.0,53.0
625.0,53.0
640.0,53.0
964.0,53.0
54.0,7.0
54.0,49.0
91.0,54.0
101.0,54.0
201.0,54.0
264.0,54.0
