i,j
0.0,172.0
0.0,538.0
0.0,648.0
0.0,499.0
0.0,554.0
0.0,515.0
0.0,123.0
0.0,791.0
0.0,996.0
0.0,491.0
0.0,682.0
0.0,563.0
1.0,387.0
1.0,917.0
1.0,237.0
1.0,529.0
1.0,836.0
1.0,31.0
1.0,859.0
1.0,347.0
1.0,766.0
1.0,338.0
1.0,53.0
1.0,939.0
2.0,674.0
2.0,402.0
2.0,178.0
2.0,519.0
2.0,747.0
2.0,310.0
2.0,589.0
2.0,98.0
2.0,761.0
2.0,303.0
2.0,291.0
2.0,464.0
3.0,508.0
3.0,847.0
3.0,828.0
3.0,975.0
3.0,297.0
3.0,287.0
3.0,912.0
3.0,510.0
3.0,528.0
3.0,311.0
3.0,59.0
3.0,943.0
4.0,239.0
4.0,1008.0
4.0,907.0
4.0,574.0
4.0,959.0
4.0,799.0
4.0,1020.0
4.0,710.0
4.0,146.0
4.0,169.0
4.0,877.0
4.0,224.0
5.0,187.0
5.0,999.0
5.0,811.0
5.0,586.0
5.0,498.0
5.0,640.0
5.0,347.0
5.0,722.0
5.0,517.0
5.0,199.0
5.0,1010.0
5.0,483.0
6.0,659.0
6.0,946.0
6.0,406.0
6.0,417.0
6.0,987.0
6.0,681.0
6.0,108.0
6.0,464.0
6.0,19.0
6.0,385.0
6.0,596.0
6.0,184.0
7.0,39.0
7.0,825.0
7.0,951.0
7.0,875.0
7.0,761.0
7.0,12.0
7.0,22.0
7.0,661.0
7.0,251.0
7.0,444.0
7.0,817.0
7.0,343.0
8.0,897.0
8.0,5.0
8.0,52.0
8.0,703.0
8.0,354.0
8.0,1021.0
8.0,233.0
8.0,164.0
8.0,544.0
8.0,627.0
8.0,779.0
8.0,694.0
9.0,1012.0
9.0,292.0
9.0,925.0
9.0,668.0
9.0,706.0
9.0,863.0
9.0,853.0
9.0,715.0
9.0,268.0
9.0,713.0
9.0,250.0
9.0,795.0
10.0,680.0
10.0,439.0
10.0,239.0
10.0,225.0
10.0,304.0
10.0,209.0
10.0,579.0
10.0,177.0
10.0,601.0
10.0,904.0
10.0,62.0
10.0,999.0
11.0,528.0
11.0,285.0
11.0,757.0
11.0,649.0
11.0,606.0
11.0,656.0
11.0,1032.0
11.0,881.0
11.0,444.0
11.0,831.0
11.0,754.0
11.0,619.0
12.0,47.0
12.0,175.0
12.0,931.0
12.0,151.0
12.0,522.0
12.0,666.0
12.0,732.0
12.0,0.0
12.0,442.0
12.0,216.0
12.0,142.0
12.0,427.0
13.0,369.0
13.0,36.0
13.0,246.0
13.0,761.0
13.0,443.0
13.0,323.0
13.0,268.0
13.0,817.0
13.0,621.0
13.0,402.0
13.0,876.0
13.0,317.0
14.0,574.0
14.0,124.0
14.0,544.0
14.0,598.0
14.0,898.0
14.0,820.0
14.0,792.0
14.0,579.0
14.0,141.0
14.0,1018.0
14.0,505.0
14.0,411.0
15.0,228.0
15.0,257.0
15.0,889.0
15.0,332.0
15.0,804.0
15.0,276.0
15.0,874.0
15.0,431.0
15.0,1006.0
15.0,530.0
15.0,853.0
15.0,686.0
16.0,180.0
16.0,484.0
16.0,477.0
16.0,96.0
16.0,77.0
16.0,953.0
16.0,188.0
16.0,956.0
16.0,475.0
16.0,992.0
16.0,444.0
16.0,777.0
17.0,890.0
17.0,456.0
17.0,591.0
17.0,918.0
17.0,376.0
17.0,664.0
17.0,458.0
17.0,706.0
17.0,93.0
17.0,687.0
17.0,675.0
17.0,410.0
18.0,530.0
18.0,678.0
18.0,996.0
18.0,423.0
18.0,302.0
18.0,183.0
18.0,524.0
18.0,223.0
18.0,812.0
18.0,551.0
18.0,495.0
18.0,202.0
19.0,620.0
19.0,388.0
19.0,198.0
19.0,445.0
19.0,296.0
19.0,530.0
19.0,228.0
19.0,89.0
19.0,484.0
19.0,302.0
19.0,29.0
19.0,431.0
20.0,636.0
20.0,334.0
20.0,47.0
20.0,770.0
20.0,977.0
20.0,991.0
20.0,105.0
20.0,15.0
20.0,905.0
20.0,921.0
20.0,912.0
20.0,942.0
21.0,425.0
21.0,144.0
21.0,676.0
21.0,311.0
21.0,397.0
21.0,562.0
21.0,89.0
21.0,1022.0
21.0,986.0
21.0,342.0
21.0,23.0
21.0,987.0
22.0,384.0
22.0,733.0
22.0,594.0
22.0,513.0
22.0,937.0
22.0,269.0
22.0,692.0
22.0,1020.0
22.0,681.0
22.0,535.0
22.0,810.0
22.0,881.0
23.0,207.0
23.0,846.0
23.0,290.0
23.0,115.0
23.0,408.0
23.0,283.0
23.0,746.0
23.0,317.0
23.0,127.0
23.0,974.0
23.0,877.0
23.0,737.0
24.0,396.0
24.0,603.0
24.0,404.0
24.0,1007.0
24.0,155.0
24.0,79.0
24.0,497.0
24.0,78.0
24.0,742.0
24.0,791.0
24.0,625.0
24.0,67.0
25.0,198.0
25.0,889.0
25.0,690.0
25.0,428.0
25.0,790.0
25.0,967.0
25.0,506.0
25.0,865.0
25.0,681.0
25.0,171.0
25.0,538.0
25.0,168.0
26.0,451.0
26.0,616.0
26.0,786.0
26.0,190.0
26.0,6.0
26.0,841.0
26.0,209.0
26.0,954.0
26.0,667.0
26.0,888.0
26.0,306.0
26.0,92.0
27.0,524.0
27.0,830.0
27.0,530.0
27.0,481.0
27.0,620.0
27.0,969.0
27.0,279.0
27.0,778.0
27.0,719.0
27.0,327.0
27.0,44.0
27.0,865.0
28.0,330.0
28.0,282.0
28.0,239.0
28.0,774.0
28.0,446.0
28.0,707.0
28.0,113.0
28.0,708.0
28.0,433.0
28.0,656.0
28.0,153.0
28.0,26.0
29.0,736.0
29.0,343.0
29.0,869.0
29.0,624.0
29.0,128.0
29.0,445.0
29.0,307.0
29.0,543.0
29.0,583.0
29.0,1027.0
29.0,933.0
29.0,824.0
30.0,945.0
30.0,166.0
30.0,852.0
30.0,510.0
30.0,424.0
30.0,380.0
30.0,1033.0
30.0,845.0
30.0,115.0
30.0,87.0
30.0,863.0
30.0,640.0
31.0,595.0
31.0,1003.0
31.0,49.0
31.0,847.0
31.0,143.0
31.0,587.0
31.0,386.0
31.0,121.0
31.0,966.0
31.0,161.0
31.0,274.0
31.0,756.0
32.0,592.0
32.0,181.0
32.0,436.0
32.0,128.0
32.0,301.0
32.0,20.0
32.0,611.0
32.0,925.0
32.0,127.0
32.0,932.0
32.0,1006.0
32.0,655.0
33.0,997.0
33.0,634.0
33.0,507.0
33.0,548.0
33.0,36.0
33.0,599.0
33.0,819.0
33.0,969.0
33.0,965.0
33.0,172.0
33.0,181.0
33.0,758.0
34.0,898.0
34.0,337.0
34.0,570.0
34.0,502.0
34.0,77.0
34.0,300.0
34.0,522.0
34.0,906.0
34.0,662.0
34.0,643.0
34.0,901.0
34.0,503.0
35.0,590.0
35.0,36.0
35.0,77.0
35.0,513.0
35.0,275.0
35.0,29.0
35.0,33.0
35.0,935.0
35.0,289.0
35.0,324.0
35.0,544.0
35.0,807.0
36.0,655.0
36.0,610.0
36.0,998.0
36.0,666.0
36.0,393.0
36.0,245.0
36.0,493.0
36.0,1020.0
36.0,875.0
36.0,265.0
36.0,353.0
36.0,563.0
37.0,402.0
37.0,171.0
37.0,625.0
37.0,272.0
37.0,610.0
37.0,817.0
37.0,70.0
37.0,188.0
37.0,661.0
37.0,213.0
37.0,74.0
37.0,256.0
38.0,284.0
38.0,123.0
38.0,1010.0
38.0,29.0
38.0,608.0
38.0,946.0
38.0,966.0
38.0,586.0
38.0,241.0
38.0,948.0
38.0,807.0
38.0,154.0
39.0,532.0
39.0,548.0
39.0,621.0
39.0,13.0
39.0,464.0
39.0,265.0
39.0,96.0
39.0,650.0
39.0,447.0
39.0,537.0
39.0,570.0
39.0,393.0
40.0,415.0
40.0,152.0
40.0,877.0
40.0,101.0
40.0,716.0
40.0,484.0
40.0,282.0
40.0,348.0
40.0,644.0
40.0,660.0
40.0,1034.0
40.0,926.0
41.0,946.0
41.0,466.0
41.0,550.0
41.0,967.0
41.0,514.0
41.0,842.0
41.0,878.0
41.0,664.0
41.0,493.0
41.0,68.0
41.0,1015.0
41.0,456.0
42.0,801.0
42.0,309.0
42.0,1007.0
42.0,845.0
42.0,119.0
42.0,228.0
42.0,395.0
42.0,95.0
42.0,698.0
42.0,159.0
42.0,993.0
42.0,462.0
43.0,184.0
43.0,409.0
43.0,159.0
43.0,458.0
43.0,720.0
43.0,899.0
43.0,79.0
43.0,21.0
43.0,201.0
43.0,375.0
43.0,508.0
43.0,1022.0
44.0,411.0
44.0,191.0
44.0,513.0
44.0,690.0
44.0,6.0
44.0,280.0
44.0,692.0
44.0,729.0
44.0,1008.0
44.0,131.0
44.0,294.0
44.0,525.0
45.0,639.0
45.0,551.0
45.0,331.0
45.0,102.0
45.0,85.0
45.0,801.0
45.0,916.0
45.0,793.0
45.0,361.0
45.0,568.0
45.0,58.0
45.0,5.0
46.0,883.0
46.0,158.0
46.0,15.0
46.0,229.0
46.0,991.0
46.0,920.0
46.0,506.0
46.0,652.0
46.0,565.0
46.0,704.0
46.0,505.0
46.0,1028.0
47.0,753.0
47.0,1031.0
47.0,897.0
47.0,991.0
47.0,1008.0
47.0,833.0
47.0,513.0
47.0,565.0
47.0,846.0
47.0,637.0
47.0,279.0
47.0,829.0
48.0,659.0
48.0,341.0
48.0,365.0
48.0,179.0
48.0,484.0
48.0,926.0
48.0,114.0
48.0,28.0
48.0,89.0
48.0,948.0
48.0,760.0
48.0,387.0
49.0,322.0
49.0,277.0
49.0,906.0
49.0,400.0
49.0,1003.0
49.0,711.0
49.0,38.0
49.0,529.0
49.0,915.0
49.0,523.0
49.0,471.0
49.0,391.0
50.0,231.0
50.0,966.0
50.0,549.0
50.0,840.0
50.0,174.0
50.0,494.0
50.0,241.0
50.0,525.0
50.0,927.0
50.0,852.0
50.0,110.0
50.0,140.0
51.0,1007.0
51.0,1028.0
51.0,161.0
51.0,982.0
51.0,91.0
51.0,416.0
51.0,67.0
51.0,538.0
51.0,738.0
51.0,435.0
51.0,300.0
51.0,479.0
52.0,949.0
52.0,1029.0
52.0,273.0
52.0,712.0
52.0,635.0
52.0,141.0
52.0,312.0
52.0,400.0
52.0,792.0
52.0,216.0
52.0,191.0
52.0,916.0
53.0,852.0
53.0,784.0
53.0,552.0
53.0,212.0
53.0,259.0
53.0,509.0
53.0,467.0
53.0,200.0
53.0,500.0
53.0,137.0
53.0,517.0
53.0,100.0
54.0,203.0
54.0,762.0
54.0,821.0
54.0,975.0
54.0,925.0
54.0,12.0
54.0,226.0
54.0,414.0
54.0,348.0
54.0,95.0
54.0,287.0
54.0,313.0
55.0,411.0
55.0,155.0
55.0,279.0
55.0,512.0
55.0,273.0
55.0,298.0
55.0,688.0
55.0,874.0
55.0,612.0
55.0,845.0
55.0,44.0
55.0,154.0
56.0,866.0
56.0,175.0
56.0,687.0
56.0,699.0
56.0,537.0
56.0,755.0
56.0,196.0
56.0,958.0
56.0,759.0
56.0,887.0
56.0,907.0
56.0,55.0
57.0,168.0
57.0,954.0
57.0,309.0
57.0,1019.0
57.0,835.0
57.0,815.0
57.0,713.0
57.0,742.0
57.0,1007.0
57.0,844.0
57.0,198.0
57.0,307.0
58.0,917.0
58.0,572.0
58.0,639.0
58.0,293.0
58.0,315.0
58.0,822.0
58.0,426.0
58.0,505.0
58.0,927.0
58.0,1.0
58.0,199.0
58.0,563.0
59.0,78.0
59.0,828.0
59.0,187.0
59.0,170.0
59.0,126.0
59.0,130.0
59.0,646.0
59.0,881.0
59.0,70.0
59.0,179.0
59.0,686.0
59.0,667.0
60.0,688.0
60.0,194.0
60.0,886.0
60.0,858.0
60.0,901.0
60.0,217.0
60.0,377.0
60.0,875.0
60.0,183.0
60.0,805.0
60.0,920.0
60.0,578.0
61.0,203.0
61.0,309.0
61.0,29.0
61.0,746.0
61.0,407.0
61.0,737.0
61.0,881.0
61.0,149.0
61.0,415.0
61.0,944.0
61.0,326.0
61.0,130.0
62.0,109.0
62.0,316.0
62.0,801.0
62.0,791.0
62.0,689.0
62.0,872.0
62.0,185.0
62.0,88.0
62.0,456.0
62.0,91.0
62.0,680.0
62.0,65.0
63.0,446.0
63.0,675.0
63.0,100.0
63.0,10.0
63.0,398.0
63.0,994.0
63.0,315.0
63.0,62.0
63.0,162.0
63.0,968.0
63.0,572.0
63.0,278.0
64.0,385.0
64.0,819.0
64.0,1034.0
64.0,885.0
64.0,282.0
64.0,776.0
64.0,401.0
64.0,263.0
64.0,998.0
64.0,173.0
64.0,580.0
64.0,956.0
65.0,846.0
65.0,629.0
65.0,397.0
65.0,827.0
65.0,403.0
65.0,159.0
65.0,961.0
65.0,884.0
65.0,328.0
65.0,646.0
65.0,461.0
65.0,664.0
66.0,434.0
66.0,226.0
66.0,574.0
66.0,75.0
66.0,770.0
66.0,1029.0
66.0,193.0
66.0,913.0
66.0,127.0
66.0,241.0
66.0,955.0
66.0,608.0
67.0,27.0
67.0,913.0
67.0,672.0
67.0,170.0
67.0,335.0
67.0,742.0
67.0,0.0
67.0,705.0
67.0,168.0
67.0,189.0
67.0,361.0
67.0,933.0
68.0,777.0
68.0,415.0
68.0,1002.0
68.0,463.0
68.0,407.0
68.0,110.0
68.0,491.0
68.0,54.0
68.0,387.0
68.0,908.0
68.0,125.0
68.0,958.0
69.0,638.0
69.0,546.0
69.0,243.0
69.0,566.0
69.0,151.0
69.0,829.0
69.0,900.0
69.0,493.0
69.0,463.0
69.0,599.0
69.0,658.0
69.0,59.0
70.0,428.0
70.0,719.0
70.0,729.0
70.0,374.0
70.0,523.0
70.0,760.0
70.0,464.0
70.0,150.0
70.0,89.0
70.0,135.0
70.0,36.0
70.0,403.0
71.0,565.0
71.0,556.0
71.0,576.0
71.0,773.0
71.0,342.0
71.0,490.0
71.0,15.0
71.0,630.0
71.0,306.0
71.0,143.0
71.0,125.0
71.0,923.0
72.0,898.0
72.0,568.0
72.0,570.0
72.0,279.0
72.0,386.0
72.0,696.0
72.0,758.0
72.0,472.0
72.0,937.0
72.0,544.0
72.0,806.0
72.0,909.0
73.0,570.0
73.0,377.0
73.0,967.0
73.0,206.0
73.0,817.0
73.0,996.0
73.0,922.0
73.0,906.0
73.0,781.0
73.0,577.0
73.0,695.0
73.0,692.0
74.0,245.0
74.0,583.0
74.0,954.0
74.0,296.0
74.0,967.0
74.0,624.0
74.0,875.0
74.0,558.0
74.0,464.0
74.0,874.0
74.0,178.0
74.0,960.0
75.0,66.0
75.0,731.0
75.0,1008.0
75.0,575.0
75.0,235.0
75.0,254.0
75.0,773.0
75.0,558.0
75.0,292.0
75.0,736.0
75.0,970.0
75.0,512.0
76.0,205.0
76.0,323.0
76.0,511.0
76.0,730.0
76.0,12.0
76.0,783.0
76.0,208.0
76.0,29.0
76.0,674.0
76.0,881.0
76.0,570.0
76.0,471.0
77.0,639.0
77.0,749.0
77.0,410.0
77.0,658.0
77.0,250.0
77.0,935.0
77.0,455.0
77.0,741.0
77.0,919.0
77.0,638.0
77.0,222.0
77.0,548.0
78.0,764.0
78.0,687.0
78.0,978.0
78.0,563.0
78.0,577.0
78.0,187.0
78.0,553.0
78.0,925.0
78.0,417.0
78.0,970.0
78.0,331.0
78.0,512.0
79.0,813.0
79.0,266.0
79.0,309.0
79.0,550.0
79.0,884.0
79.0,545.0
79.0,311.0
79.0,572.0
79.0,934.0
79.0,746.0
79.0,620.0
79.0,877.0
80.0,724.0
80.0,925.0
80.0,415.0
80.0,266.0
80.0,717.0
80.0,59.0
80.0,215.0
80.0,283.0
80.0,1014.0
80.0,33.0
80.0,122.0
80.0,41.0
81.0,512.0
81.0,1018.0
81.0,931.0
81.0,98.0
81.0,155.0
81.0,228.0
81.0,890.0
81.0,634.0
81.0,266.0
81.0,837.0
